,t_3_f,Disc_0,Disc_1,Disc_2,Disc_3,Disc_4,Disc_5,Disc_6,Disc_7,Disc_8,Disc_9
40786,8e-06,0,0,0,0,2,74,0,0,0,0
40787,8e-06,0,0,0,255,0,0,0,0,0,0
40788,8e-06,70,0,0,0,340,0,0,0,0,10
40789,8e-06,0,0,0,110,14,1067,0,0,0,0
40790,8e-06,0,0,0,0,0,1118,77,105,0,143
40791,8e-06,0,2,863,0,1,234,2,0,0,0
40792,8e-06,13,0,0,0,0,0,0,0,10,0
40793,8e-06,0,1,17,0,0,5,1,27,0,32
40794,8e-06,1,10,0,3,0,0,0,0,0,0
40795,8e-06,0,9,1498,0,8,411,11,17,0,0
40796,8e-06,0,0,0,82,0,0,0,0,184,0
40797,8e-06,0,0,0,13,0,4,0,0,0,0
40798,8e-06,0,0,0,11,0,0,0,0,13,0
40799,8e-06,0,0,0,0,0,0,0,0,0,0
40800,8e-06,15,0,0,0,2,27,0,1,0,0
40801,8e-06,0,0,0,9,0,0,7,0,18,0
40802,8e-06,25,2,0,0,0,0,38,0,0,0
40803,8e-06,39,0,627,1,0,0,0,0,0,0
40804,8e-06,0,20,27,0,3,0,0,4,0,0
40805,8e-06,0,0,0,0,0,0,0,12,0,0
40806,8e-06,0,0,0,0,1,0,0,0,597,0
40807,8e-06,0,0,0,0,0,0,0,738,0,0
40808,8e-06,0,0,0,24,0,0,136,0,46,7
40809,8e-06,0,11,0,0,1,1,0,1,0,0
40810,8e-06,0,0,0,0,508,0,0,0,4,43
40811,8e-06,0,0,0,0,38,0,0,0,0,0
40812,8e-06,0,0,31,11,0,0,0,4,4,0
40813,8e-06,338,33,867,70,0,0,0,0,35,0
40814,8e-06,187,0,0,0,0,47,0,0,0,0
40815,8e-06,39,0,0,0,1,34,0,0,0,0
40816,8e-06,0,0,0,0,0,2,27,123,1,0
40817,8e-06,0,0,0,0,0,0,0,0,0,0
40818,8e-06,0,0,0,0,0,0,0,0,0,0
40819,8e-06,4,4,0,0,19,4,0,0,140,406
40820,8e-06,0,0,41,0,0,0,0,0,2,0
40821,8e-06,1,1,0,59,0,2,0,0,28,195
40822,8e-06,0,8,0,0,0,0,0,2,0,0
40823,8e-06,0,0,0,95,30,1,0,7,0,1
40824,8e-06,0,8,0,1,0,216,0,0,0,0
40825,8e-06,0,26,0,28,143,37,0,0,0,0
40826,8e-06,0,0,0,0,0,0,0,0,0,0
40827,8e-06,2,0,0,0,24,0,0,200,0,0
40828,8e-06,12,23,0,0,1,63,0,0,1,0
40829,8e-06,2,0,16,0,2,0,0,10,0,0
40830,8e-06,1,0,0,2,1,0,0,1,2,1
40831,8e-06,3,0,0,0,0,0,0,88,0,0
40832,8e-06,0,0,0,0,0,0,0,838,0,0
40833,8e-06,0,0,0,73,13,34,420,0,0,0
40834,8e-06,4,13,17,0,161,3,334,0,0,0
40835,8e-06,0,0,779,0,0,0,3,0,160,78
40836,8e-06,22,0,29,21,0,0,1,0,70,0
40837,8e-06,423,0,36,0,1,1,0,0,93,0
40838,8e-06,0,0,0,0,1,311,0,0,3,0
40839,8e-06,0,29,36,0,0,0,0,0,0,0
40840,8e-06,66,0,0,0,0,0,0,0,0,0
40841,8e-06,0,0,0,0,0,0,0,0,0,0
40842,8e-06,147,157,2,165,65,1,23,0,104,108
40843,8e-06,1,0,0,0,11,0,1048,4,0,0
40844,8e-06,0,63,48,6,0,0,0,12,34,0
40845,8e-06,0,0,0,0,0,0,0,2,16,1
40846,8e-06,0,52,0,4502,0,0,0,0,0,0
40847,8e-06,1,0,60,0,0,4,0,0,0,3
40848,8e-06,0,0,0,0,0,3,0,0,0,437
40849,8e-06,0,0,0,1,0,32,0,0,127,322
40850,8e-06,3,10,0,0,0,0,33,0,0,0
40851,8e-06,2,0,0,178,0,3,161,0,0,0
40852,8e-06,0,30,0,978,0,0,37,11,0,0
40853,8e-06,0,0,0,0,0,0,0,5,0,0
40854,8e-06,0,0,1,0,1,0,209,6,0,0
40855,8e-06,5,0,71,5,0,0,0,0,1,0
40856,8e-06,0,1,0,0,0,0,0,0,25,1
40857,8e-06,0,0,0,0,0,0,16,0,0,1
40858,8e-06,183,23,0,0,0,19,0,0,0,0
40859,8e-06,12,0,0,32,0,239,92,0,0,2
40860,8e-06,0,0,0,2,0,1,0,9,0,1
40861,8e-06,0,0,44,0,162,0,0,82,0,0
40862,8e-06,1842,394,0,104,0,0,0,5,0,0
40863,8e-06,11,0,0,0,0,0,0,13,0,0
40864,8e-06,350,0,0,0,0,0,6,375,0,0
40865,8e-06,0,0,0,409,2,0,0,3,0,1
40866,8e-06,0,3,4,0,0,0,0,18,0,0
40867,8e-06,0,0,0,0,5,0,0,0,0,0
40868,8e-06,0,0,0,0,0,0,0,75,0,0
40869,8e-06,0,0,4,2,0,0,0,0,0,15
40870,8e-06,3,1,0,0,189,0,0,22,19,3
40871,8e-06,0,6,0,0,1,0,0,0,0,4
40872,8e-06,0,0,4,0,1,0,0,1,0,0
40873,8e-06,794,3,0,0,0,0,0,0,121,0
40874,8e-06,0,0,0,0,0,64,0,0,0,0
40875,8e-06,1,0,3,0,0,0,43,85,2,0
40876,8e-06,0,20,0,0,0,0,0,0,8,0
40877,8e-06,0,0,0,0,0,0,406,46,20,0
40878,8e-06,0,0,0,0,0,0,0,1,1,0
40879,8e-06,0,0,35,1,8,3,0,1,0,1
40880,8e-06,0,0,16,103,28,0,0,0,0,0
40881,8e-06,0,2,0,0,0,0,1,0,0,0
40882,8e-06,0,0,0,0,7,1,0,0,0,0
40883,8e-06,18,0,0,0,57,4,7,156,0,9
40884,8e-06,0,0,28,0,18,0,0,7,0,0
40885,8e-06,0,0,0,0,183,0,0,0,141,2
40886,8e-06,0,0,5,10,0,3,0,0,0,0
40887,8e-06,0,0,28,0,0,0,2,0,0,0
40888,8e-06,0,0,3,0,0,0,0,0,27,0
40889,8e-06,0,60,0,0,0,0,0,19,0,0
40890,8e-06,805,0,193,0,0,400,0,0,0,10
40891,8e-06,0,1,0,0,0,127,0,0,0,0
40892,8e-06,0,0,0,0,0,0,0,0,0,26
40893,8e-06,0,0,0,43,75,1,62,0,0,6
40894,8e-06,0,0,0,10,41,0,2,10,0,5
40895,8e-06,0,0,0,275,0,1,59,0,0,28
40896,8e-06,0,0,0,0,109,0,3,8,0,63
40897,8e-06,0,0,0,0,0,0,0,6,1,0
40898,8e-06,0,0,1,12,79,0,0,0,0,0
40899,8e-06,0,13,0,0,34,0,0,0,9,0
40900,8e-06,0,0,2,5,102,0,1,0,4,6
40901,8e-06,0,0,8,0,0,0,39,0,2,0
40902,8e-06,0,4,0,0,0,0,0,0,0,182
40903,8e-06,29,33,0,0,0,0,0,0,15,169
40904,8e-06,1,0,25,1,484,1,0,0,2,0
40905,8e-06,0,0,128,9,0,0,0,0,0,0
40906,8e-06,0,1,0,6,0,156,0,40,100,0
40907,8e-06,0,27,20,0,88,52,0,0,0,0
40908,8e-06,0,0,0,0,20,2,0,0,0,0
40909,8e-06,0,0,366,286,29,0,316,0,0,280
40910,8e-06,0,0,18,0,0,257,1717,0,0,0
40911,8e-06,0,18,0,1,0,0,0,13,32,15
40912,8e-06,0,0,0,0,0,0,2,0,9,0
40913,8e-06,262,0,0,36,20,0,0,0,29,56
40914,8e-06,0,206,0,0,0,0,1,0,0,0
40915,8e-06,3,0,45,1,11,0,8,0,0,32
40916,8e-06,0,150,0,0,0,116,1395,0,0,0
40917,8e-06,1,0,0,2,36,1085,24,0,0,13
40918,8e-06,0,0,0,0,37,0,5,316,0,0
40919,8e-06,8,48,0,74,0,0,0,0,0,0
40920,8e-06,0,0,45,2,0,0,52,0,31,637
40921,8e-06,0,0,0,0,0,0,0,0,0,0
40922,8e-06,0,0,132,0,0,76,0,0,0,0
40923,8e-06,80,0,0,53,0,0,108,0,0,0
40924,8e-06,0,0,0,112,0,0,0,4,0,0
40925,8e-06,0,0,44,0,179,0,0,0,96,0
40926,8e-06,1,74,1,0,0,85,0,0,0,55
40927,8e-06,0,0,0,33,0,89,0,37,0,12
40928,8e-06,0,0,0,1,0,0,1,0,3,0
40929,8e-06,3,13,0,0,0,0,0,0,0,0
40930,8e-06,0,0,0,0,90,0,0,16,0,0
40931,8e-06,0,0,0,70,0,0,0,1,450,13
40932,8e-06,23,0,0,1,0,42,48,0,0,0
40933,8e-06,0,0,3,60,0,0,1,0,121,0
40934,8e-06,0,4,0,0,0,0,21,0,32,0
40935,8e-06,0,3,0,0,0,0,0,0,0,0
40936,8e-06,0,0,0,0,0,0,0,0,0,21
40937,8e-06,0,4,0,0,0,0,0,1,402,0
40938,8e-06,0,0,0,0,0,0,0,0,0,0
40939,8e-06,0,0,0,6,8,3,118,0,0,15
40940,8e-06,0,0,0,0,0,0,2,0,0,0
40941,8e-06,0,4,0,0,0,0,0,6,0,0
40942,8e-06,1,0,0,0,0,0,0,0,0,1
40943,8e-06,0,0,0,0,1,0,0,16,1,6
40944,8e-06,57,0,3,0,0,0,0,0,1,0
40945,8e-06,0,2,0,0,0,1075,0,0,0,0
40946,8e-06,0,518,0,0,33,0,0,0,360,0
40947,8e-06,5,0,0,0,0,0,0,0,0,2
40948,8e-06,15,0,0,0,0,0,0,0,0,0
40949,8e-06,0,7,36,100,20,0,0,0,0,0
40950,8e-06,0,0,0,0,2,9,0,0,20,0
40951,8e-06,0,1,0,0,0,0,1,0,0,0
40952,8e-06,0,115,18,0,31,0,1,0,0,0
40953,8e-06,0,3,23,0,0,70,2,0,0,0
40954,8e-06,0,0,6,24,0,0,27,1,0,0
40955,8e-06,0,5,0,0,6,0,0,0,1322,369
40956,8e-06,399,2,105,0,0,0,0,362,0,0
40957,8e-06,0,0,0,0,0,0,83,0,0,0
40958,8e-06,0,0,4,4,0,0,0,0,0,20
40959,8e-06,0,0,0,0,0,0,47,0,0,2
40960,8e-06,3,5,0,0,0,0,0,0,0,0
40961,8e-06,50,0,0,0,0,0,529,1,0,0
40962,8e-06,0,0,0,0,0,0,0,335,0,0
40963,8e-06,1,0,0,0,198,0,0,0,0,8
40964,8e-06,0,0,0,0,0,0,0,0,0,0
40965,8e-06,0,0,0,1,1,0,60,0,193,36
40966,8e-06,0,0,0,0,0,0,0,0,1,1
40967,8e-06,0,0,1,9,28,0,40,2,30,1517
40968,8e-06,0,271,0,0,0,0,2,0,0,0
40969,8e-06,0,22,0,0,1,31,0,0,1,0
40970,8e-06,12,0,0,29,0,0,0,0,0,0
40971,8e-06,0,0,0,115,0,17,0,1,0,675
40972,8e-06,0,0,0,0,0,0,0,0,0,0
40973,8e-06,0,0,0,0,157,0,0,15,1,0
40974,8e-06,534,120,0,10,0,0,0,0,142,0
40975,8e-06,0,14,0,2,4,0,0,0,0,0
40976,8e-06,0,0,0,0,0,0,0,0,23,0
40977,8e-06,8,0,0,202,0,89,0,0,0,98
40978,8e-06,24,8,0,5,0,0,0,0,0,0
40979,8e-06,2,0,0,0,28,0,0,0,0,0
40980,8e-06,0,0,139,0,82,86,1,0,15,0
40981,8e-06,0,0,0,81,0,0,0,0,1,2
40982,8e-06,0,45,11,210,0,0,0,11,0,0
40983,8e-06,0,0,0,0,0,48,0,0,0,92
40984,8e-06,0,0,0,0,1,0,0,0,0,1
40985,8e-06,0,0,15,0,0,12,0,0,0,9
40986,8e-06,6,0,0,0,0,0,0,370,0,188
40987,8e-06,0,0,0,0,5,0,13,0,3,0
40988,8e-06,0,0,0,0,0,13,0,0,0,61
40989,8e-06,0,0,0,0,0,0,0,0,3,0
40990,8e-06,0,0,11,0,0,0,0,0,0,64
40991,8e-06,3,0,0,0,0,0,1,2,0,23
40992,8e-06,0,0,0,1,96,0,0,9,0,89
40993,8e-06,0,0,113,0,2,0,0,0,0,0
40994,8e-06,0,0,0,0,3,0,11,0,170,83
40995,8e-06,0,0,49,0,360,0,0,0,0,0
40996,8e-06,93,44,0,0,0,0,0,0,0,47
40997,8e-06,160,77,0,0,5,0,0,0,39,443
40998,8e-06,2,0,1,0,3,70,0,0,0,35
40999,8e-06,0,0,0,0,0,2,0,0,0,0
41000,8e-06,0,59,108,0,35,0,0,0,0,0
41001,8e-06,0,0,0,0,8,0,0,106,0,19
41002,8e-06,0,0,0,0,1,0,8,238,60,0
41003,8e-06,0,1,0,0,0,0,0,0,0,0
41004,8e-06,0,0,0,0,0,0,0,49,0,0
41005,8e-06,6,0,8,1,0,0,0,140,0,0
41006,8e-06,148,13,0,0,0,0,0,0,69,0
41007,8e-06,0,0,0,4,0,96,0,0,0,0
41008,8e-06,0,0,0,0,0,0,0,0,0,0
41009,8e-06,4,1,342,0,0,0,1,0,0,0
41010,8e-06,0,0,0,0,0,0,18,0,0,0
41011,8e-06,0,0,0,0,0,0,3,0,0,0
41012,8e-06,0,0,0,0,0,8,0,0,0,0
41013,8e-06,0,51,0,0,0,0,5,21,6,1
41014,8e-06,134,0,167,0,0,278,0,0,1,5223
41015,8e-06,0,0,0,0,0,0,0,29,0,153
41016,8e-06,0,0,0,0,9,0,2,0,0,2
41017,8e-06,0,64,0,0,0,0,0,0,0,0
41018,8e-06,0,0,258,0,1,0,5,0,0,0
41019,8e-06,2,0,0,0,0,0,1,0,49,0
41020,8e-06,0,0,0,0,0,0,12,0,0,0
41021,8e-06,0,0,0,1,32,0,0,41,6,298
41022,8e-06,0,0,0,0,0,0,0,0,0,0
41023,8e-06,0,55,2666,0,48,0,0,0,0,0
41024,8e-06,2,105,0,0,1,0,3,0,19,0
41025,8e-06,17,0,6,0,0,0,0,0,0,0
41026,8e-06,0,7,0,0,0,74,0,0,31,22
41027,8e-06,10,10,0,0,566,0,0,0,11,29
41028,8e-06,0,66,42,0,0,31,38,34,0,0
41029,8e-06,7,0,1,0,0,0,0,0,0,49
41030,8e-06,0,0,0,0,0,0,0,0,0,21
41031,8e-06,0,0,0,0,0,0,0,0,1,0
41032,8e-06,0,10,0,0,0,0,28,1,0,0
41033,8e-06,0,0,0,0,0,0,123,1,0,0
41034,8e-06,41,0,0,0,32,18,0,0,0,1
41035,8e-06,0,0,2,34,0,0,12,5,0,0
41036,8e-06,0,4,0,73,3,1,0,0,0,0
41037,8e-06,1,5,0,0,1,0,55,13,0,0
41038,8e-06,0,0,0,14,0,0,0,0,0,0
41039,8e-06,34,0,18,0,59,0,0,0,0,1
41040,8e-06,0,0,0,0,0,0,47,0,5,0
41041,8e-06,0,408,3,0,0,0,0,437,0,26
41042,8e-06,0,0,0,0,47,20,0,0,2,0
41043,8e-06,130,0,1,0,0,0,0,0,0,4
41044,8e-06,0,0,0,3,0,0,16,23,0,0
41045,8e-06,3,249,0,0,0,0,0,0,43,0
41046,8e-06,264,66,16,21,26,0,0,0,157,14
41047,8e-06,3,0,0,0,0,0,0,0,0,0
41048,8e-06,0,0,0,0,0,37,0,11,0,0
41049,8e-06,0,20,0,0,8,42,0,0,0,0
41050,8e-06,0,0,1,0,0,0,0,0,6,0
41051,8e-06,0,0,25,0,4,0,6,0,1,686
41052,8e-06,33,2,0,678,0,5,0,18,256,0
41053,8e-06,0,0,0,47,60,0,0,0,99,0
41054,8e-06,0,226,0,0,0,12,0,0,0,0
41055,8e-06,0,0,0,0,0,157,1,0,0,57
41056,8e-06,0,0,0,0,0,81,0,0,0,0
41057,8e-06,0,38,0,8,0,0,0,0,0,158
41058,8e-06,95,0,3,0,4,121,1,0,0,0
41059,8e-06,0,0,0,0,3,0,122,0,7,226
41060,8e-06,11,0,1,44,0,0,67,0,357,1
41061,8e-06,8,1,0,0,358,0,0,0,0,0
41062,8e-06,0,0,6,0,0,0,1469,102,1,0
41063,8e-06,0,0,0,0,0,106,0,0,2,0
41064,8e-06,0,0,0,0,1,0,37,13,0,0
41065,8e-06,0,0,0,0,0,0,0,0,0,0
41066,8e-06,5,0,0,0,0,0,0,3,0,0
41067,8e-06,0,5,12,647,0,0,1,0,0,0
41068,8e-06,0,0,0,0,0,0,0,1102,0,0
41069,8e-06,0,14,0,423,51,0,0,0,0,156
41070,8e-06,0,0,77,0,199,1,0,0,0,0
41071,8e-06,0,0,0,12,0,0,0,9,0,60
41072,8e-06,0,0,0,0,1,90,0,0,0,0
41073,8e-06,0,0,0,0,0,0,0,0,0,9
41074,8e-06,1,0,1,0,0,0,0,0,0,0
41075,8e-06,2,3,0,0,0,2,14,0,0,28
41076,8e-06,0,0,0,0,219,0,0,0,0,315
41077,8e-06,0,0,0,1,0,5,0,0,0,0
41078,8e-06,0,0,515,0,0,0,240,496,0,0
41079,8e-06,0,5,0,25,8,845,0,2,1,0
41080,8e-06,0,14,9,0,0,0,11,148,0,86
41081,8e-06,0,2,0,0,0,0,191,0,1,0
41082,8e-06,0,0,0,0,99,125,0,0,0,0
41083,8e-06,0,0,0,169,0,1222,239,0,2,0
41084,8e-06,0,0,0,10,0,0,0,0,0,24
41085,8e-06,31,0,115,11,26,0,0,0,0,0
41086,8e-06,0,0,220,0,0,0,0,0,0,0
41087,8e-06,45,8,0,6,0,0,0,3,26,2
41088,8e-06,0,0,0,0,0,0,54,0,0,1
41089,8e-06,0,0,0,0,0,0,20,0,0,0
41090,8e-06,0,0,0,17,0,0,0,0,1,0
41091,8e-06,0,0,0,1,3,0,0,39,5,1
41092,8e-06,0,0,53,0,0,1,0,0,0,0
41093,8e-06,0,1,0,0,23,0,12,0,0,0
41094,8e-06,0,0,1,2,3,0,0,38,0,0
41095,8e-06,1,0,1,0,0,0,6,0,0,0
41096,8e-06,0,0,0,1,0,186,0,0,0,119
41097,8e-06,0,0,0,0,0,1,0,0,0,0
41098,8e-06,0,0,0,0,0,0,100,12,591,0
41099,8e-06,12,0,0,0,190,0,204,55,0,0
41100,8e-06,0,0,0,0,8,0,0,60,7,0
41101,8e-06,0,0,0,8,0,0,0,0,67,0
41102,8e-06,0,0,0,9,2,4,0,0,0,0
41103,8e-06,0,0,0,0,0,0,0,0,0,0
41104,8e-06,0,4,0,0,446,0,1,3,1,1
41105,8e-06,0,0,0,0,0,0,73,0,3,0
41106,8e-06,4,0,26,0,13,0,101,0,0,0
41107,8e-06,0,0,0,454,0,0,0,89,0,6
41108,8e-06,0,0,31,0,0,0,3,2,0,0
41109,8e-06,48,0,36,0,0,3,0,0,323,587
41110,8e-06,0,8,0,2,17,0,8,49,0,0
41111,8e-06,2,0,0,0,4,23,0,0,0,0
41112,8e-06,0,0,0,6,0,0,1,33,0,0
41113,8e-06,2,0,0,0,0,0,0,0,2,0
41114,8e-06,1,0,0,0,0,555,62,0,1,0
41115,8e-06,0,0,15,338,17,4,0,1,147,0
41116,8e-06,8,1,0,0,0,0,0,1,0,0
41117,8e-06,7,0,346,0,0,0,0,0,0,13
41118,8e-06,0,0,0,0,2,162,80,1,0,0
41119,8e-06,0,5,0,0,0,0,0,0,0,19
41120,8e-06,0,0,3,0,0,0,0,0,0,0
41121,8e-06,0,0,322,27,1,2,0,1,0,0
41122,8e-06,0,0,0,0,0,0,0,6,17,0
41123,8e-06,0,0,0,1507,8,0,0,0,0,5
41124,8e-06,0,0,18,0,0,0,39,0,1,0
41125,8e-06,1,0,0,412,0,0,75,13,0,0
41126,8e-06,0,2,0,2,0,8,0,0,0,0
41127,8e-06,0,7,0,0,0,8,0,0,0,0
41128,8e-06,0,0,0,0,0,8,0,0,0,2
41129,8e-06,0,0,170,0,0,0,0,0,0,0
41130,8e-06,0,73,1,0,0,0,0,11,0,0
41131,8e-06,0,0,0,0,0,0,0,0,154,0
41132,8e-06,0,3,0,0,0,1,4,0,0,0
41133,8e-06,0,10,0,32,0,1,0,0,11,0
41134,8e-06,0,10,0,0,0,0,0,0,0,0
41135,8e-06,0,0,0,0,0,0,0,217,0,0
41136,8e-06,35,0,0,77,0,0,0,0,7,43
41137,8e-06,0,0,0,0,2,0,0,0,0,25
41138,8e-06,0,83,0,0,0,1,0,0,0,2
41139,8e-06,65,0,0,3,0,0,0,0,0,0
41140,8e-06,1,18,0,0,0,0,0,0,0,0
41141,8e-06,0,306,12,12,0,4,0,0,0,0
41142,8e-06,0,49,0,2,0,0,96,324,3,0
41143,8e-06,6,0,560,11,0,31,0,208,0,0
41144,8e-06,0,0,5,0,0,244,0,0,89,0
41145,8e-06,0,0,0,0,0,0,0,0,0,0
41146,8e-06,0,0,11,0,0,0,0,142,0,0
41147,8e-06,0,0,0,0,0,0,81,21,0,0
41148,8e-06,0,8,0,0,0,0,3,64,0,1
41149,8e-06,1,8,0,0,0,0,0,7,18,4
41150,8e-06,0,0,4,0,0,0,0,351,0,0
41151,8e-06,0,0,0,0,2,12,0,0,0,194
41152,8e-06,0,0,11,0,0,0,29,83,120,0
41153,8e-06,0,0,0,0,0,0,88,0,2,8
41154,8e-06,2,0,24,0,0,3,0,0,0,0
41155,8e-06,2,3237,0,17,21,91,152,0,0,45
41156,8e-06,0,0,0,0,0,0,0,0,0,0
41157,8e-06,0,0,0,0,0,0,2,617,0,154
41158,8e-06,0,0,0,16,3,0,0,36,0,102
41159,8e-06,0,0,0,0,0,0,6,0,0,105
41160,8e-06,2,0,1,0,0,0,0,20,0,0
41161,8e-06,0,1,0,0,0,10,0,0,22,0
41162,8e-06,118,6,0,0,0,5,12,0,0,0
41163,8e-06,1,0,0,0,0,0,0,0,2,0
41164,8e-06,19,0,22,0,0,0,0,0,0,0
41165,8e-06,0,3,0,0,0,150,0,0,0,0
41166,8e-06,3,4,85,0,40,34,0,0,10,0
41167,8e-06,0,0,12,0,0,56,358,0,0,0
41168,8e-06,15,119,0,0,0,0,0,0,0,0
41169,8e-06,5,0,11,0,1,94,1,0,0,0
41170,8e-06,0,12,0,0,51,0,0,0,0,0
41171,8e-06,0,0,0,0,646,7,619,0,0,0
41172,8e-06,0,0,0,0,0,0,0,0,0,0
41173,8e-06,0,79,2,0,0,0,0,0,86,0
41174,8e-06,0,0,0,0,3,39,0,26,0,0
41175,8e-06,0,0,3,0,0,15,22,0,0,0
41176,8e-06,0,53,419,14,0,0,0,0,0,6
41177,8e-06,0,32,2,0,0,0,23,0,0,0
41178,8e-06,1,1,0,0,0,0,0,16,0,0
41179,8e-06,0,0,12,0,0,5,0,0,177,5
41180,8e-06,0,0,0,0,0,0,0,0,12,0
41181,8e-06,0,0,0,0,0,0,0,0,0,0
41182,8e-06,72,0,0,7,0,39,0,8,12,0
41183,8e-06,0,2,0,3,590,130,10,100,1,28
41184,8e-06,0,0,0,0,0,0,0,1576,0,9
41185,8e-06,1,0,0,0,4,0,1,0,342,77
41186,8e-06,119,0,0,0,0,0,3,2,0,0
41187,8e-06,10,0,0,0,0,0,13,0,0,0
41188,8e-06,0,0,0,2,0,20,0,0,0,34
41189,8e-06,0,35,0,0,13,0,9,0,26,81
41190,8e-06,0,0,1,0,3,0,1,0,0,0
41191,8e-06,1141,0,44,104,0,0,6,0,0,0
41192,8e-06,0,0,1,1,0,0,0,0,632,43
41193,8e-06,0,0,1,0,307,0,7,1,3,0
41194,8e-06,0,0,0,0,0,0,8,45,7,1
41195,8e-06,0,0,0,0,0,39,1,11,1,0
41196,8e-06,5,0,0,0,1,0,153,19,0,0
41197,8e-06,0,22,0,0,1,0,0,0,0,23
41198,8e-06,0,2,200,0,0,2,0,0,0,0
41199,8e-06,0,0,0,0,0,0,0,0,0,312
41200,8e-06,0,7,23,0,0,35,0,0,0,39
41201,8e-06,1,147,0,395,0,0,1,0,0,0
41202,8e-06,0,0,0,0,0,0,0,0,0,39
41203,8e-06,0,0,0,0,0,11,0,8,0,0
41204,8e-06,10,0,0,2,2,5,0,0,0,0
41205,8e-06,0,0,0,0,0,46,35,1,0,0
41206,8e-06,0,0,0,0,13,0,0,43,0,0
41207,8e-06,0,0,0,0,0,0,0,0,0,0
41208,8e-06,0,11,0,0,0,351,1,16,75,0
41209,8e-06,4,0,0,41,0,0,9,0,3,0
41210,8e-06,69,0,7,0,0,0,0,3,0,2
41211,8e-06,0,0,25,0,0,10,8,0,668,1
41212,8e-06,0,7,0,1,5,66,0,0,0,0
41213,8e-06,0,2,0,0,0,0,0,0,0,0
41214,8e-06,5,0,96,0,58,16,0,0,164,1
41215,8e-06,0,0,0,2,0,14,0,0,0,0
41216,8e-06,8,10,0,0,0,47,0,0,0,0
41217,8e-06,33,0,1,0,0,83,0,3,0,0
41218,8e-06,0,0,0,0,0,0,0,0,0,3
41219,8e-06,0,17,0,0,0,0,0,0,0,5
41220,8e-06,0,46,79,0,0,0,0,0,0,139
41221,8e-06,0,0,0,0,106,6,0,15,233,0
41222,8e-06,24,22,0,3,0,0,0,0,3,1
41223,8e-06,0,0,0,0,0,350,0,49,1,5
41224,8e-06,0,45,0,0,0,3,0,0,0,0
41225,8e-06,10,0,0,0,0,5,0,0,11,0
41226,8e-06,0,0,0,0,0,26,1,0,0,1
41227,8e-06,2,0,0,0,120,0,0,1,0,94
41228,8e-06,0,0,0,0,0,6,0,11,0,0
41229,8e-06,9,3,0,0,0,0,0,0,0,0
41230,8e-06,0,0,10,0,1,0,0,28,0,1
41231,8e-06,0,0,0,16,0,1,0,0,1,0
41232,8e-06,0,0,0,2,0,0,0,0,125,0
41233,8e-06,0,0,26,0,149,0,0,0,559,0
41234,8e-06,9,347,84,0,10,0,0,0,0,0
41235,8e-06,0,0,0,0,0,59,0,0,0,1
41236,8e-06,0,29,0,0,0,0,0,9,0,0
41237,8e-06,0,0,0,0,0,28,0,0,0,0
41238,8e-06,0,0,0,0,0,17,0,0,0,0
41239,8e-06,14,0,0,24,582,0,0,1,8,1
41240,8e-06,0,0,0,0,0,149,0,18,0,0
41241,8e-06,0,0,0,0,0,0,0,0,5,1
41242,8e-06,0,0,0,0,18,0,0,1,0,0
41243,8e-06,0,0,0,0,0,0,0,2,0,0
41244,8e-06,0,4,0,0,0,0,0,94,15,0
41245,8e-06,0,0,0,3,80,0,0,32,0,1
41246,8e-06,2,1,0,0,0,0,0,0,0,0
41247,8e-06,0,23,17,0,0,53,0,0,0,4
41248,8e-06,0,0,0,0,271,0,0,0,0,9
41249,8e-06,0,0,0,0,0,0,0,0,203,0
41250,8e-06,0,0,6,0,0,11,0,83,10,66
41251,8e-06,2,0,85,0,0,0,0,0,1,70
41252,8e-06,0,0,16,0,0,0,90,11,0,65
41253,8e-06,0,8,0,0,15,3,0,0,0,0
41254,8e-06,0,0,0,0,0,0,0,30,0,0
41255,8e-06,0,4,0,0,0,0,0,0,0,62
41256,8e-06,210,7,0,0,0,0,0,0,0,0
41257,8e-06,34,0,0,18,0,0,0,0,91,0
41258,8e-06,0,0,0,0,0,0,1,0,0,0
41259,8e-06,1,0,0,40,0,0,0,0,0,0
41260,8e-06,7,0,0,12,0,0,0,0,227,0
41261,8e-06,0,0,0,0,1,14,2,1,471,0
41262,8e-06,0,46,1,14,0,22,0,2,0,0
41263,8e-06,0,0,0,0,0,1,0,0,0,0
41264,8e-06,293,0,0,0,29,1,1,0,0,0
41265,8e-06,0,0,0,0,2,0,0,0,0,0
41266,8e-06,49,0,0,0,0,85,7,0,0,0
41267,8e-06,0,0,0,0,0,0,0,0,0,0
41268,8e-06,0,0,0,0,1,9,0,0,0,135
41269,8e-06,0,0,0,0,0,55,300,0,0,0
41270,8e-06,0,0,37,0,0,0,1,0,0,0
41271,8e-06,0,0,1319,0,23,0,0,0,62,0
41272,8e-06,64,0,0,4,6,0,15,0,0,17
41273,8e-06,0,1,12,158,6,0,2,0,0,36
41274,8e-06,0,0,0,65,0,0,41,0,0,0
41275,8e-06,0,0,0,0,1,3,0,4,0,149
41276,8e-06,3,0,0,88,93,0,0,0,0,0
41277,8e-06,0,87,7,0,0,0,0,0,0,0
41278,8e-06,0,0,0,0,0,6,0,0,0,0
41279,8e-06,0,0,0,0,0,0,36,13,14,4
41280,8e-06,0,0,0,0,0,0,0,0,0,0
41281,8e-06,0,0,0,9,0,0,1,0,41,0
